age_CE,ETme101m_raw,ETme102m_raw,ETme103M_raw,ETme104m_raw,ETme201m_raw,ETme202m_raw,ETme203m_raw,ETme204m_raw,ETme301m_raw,ETme3021_raw,ETme303m_raw,ETme401M_raw,ETme402M_raw,ETme404m_raw,ETme501m_raw,ETme502m_raw,ETme503m_raw,ETme504m_raw,ETme601m_raw,ETme6021_raw,ETme6031_raw,ETme604M_raw,Unnamed: 23
1869,,100,,,,,,,,,,,,,,,,,,,,,
1870,,62,,,,,,,,,,,,,,,,,,,,,
1871,,66,,,,,,,,,,,,,,,,,,,,,
1872,,59,,,,,,,,,,,,,,,,,,,,,
1873,,97,,,,,,,,,,,,,,,,,,,,,
1874,,123,,,,,,,,,,,,,,,,,,,,,
1875,,152,,,,,,,,,,,,,,,,,,,,,
1876,,96,,,,,,,,,,,,,,,,,,,,,
1877,,20,,,,,,,,,,,,,,,,,,,,,
1878,,58,,,,,,,,,,,,,,,,,,,,,
1879,,66,,,,,,,,,,,,,,17.0,,,,,,,
1880,,59,,,,,,,,,,,,,,35.0,,,,,,,
1881,,55,,,,,,,,,,,,,,46.0,,,,,,,
1882,,117,,,,,,,,,,,,,,31.0,,,,,,,
1883,,135,,,,,,,,,,,,,,29.0,,,,,,,
1884,,104,,,,,,,,,,,,,,42.0,,,,,,,
1885,,112,,,,,,,,,,,,,,46.0,,,,,,,
1886,,37,,,,,,,,,,,,,,17.0,,,,,,,
1887,,32,,,,,,,,,,,,,,12.0,,,,,,,
1888,,55,,,,,,,,,,,,,,23.0,,,,,,,
1889,,79,,,,,,,,,,,,,,22.0,,,,,,,
1890,,113,,,,,,,,,,,,,,24.0,,,,,,,
1891,,100,,,,,,,,,,,,,,33.0,,,,,,,
1892,,74,,,,,182.0,,,,,,,,,13.0,,,,,,,
1893,,59,,,,,164.0,,,,,,,,,18.0,,,,,,,
1894,,108,,,,,78.0,,,,,,,,,19.0,,,,,,,
1895,,85,,,,,49.0,,,,,,,,,14.0,,,,,,,
1896,,83,,,,,52.0,,,,,,,,,14.0,,,,,,,
1897,,85,,,,,64.0,,,,,,,,,14.0,,,,,,,
1898,,70,,,,,42.0,,,,,,,,,14.0,,,,,,,
1899,,62,,,,,73.0,,,,,,,,,15.0,,,,,,,
1900,,91,,,,,115.0,,,,,,,,,12.0,,,,,,,
1901,,84,,,,,211.0,,,,,,,,,20.0,,,,,,,
1902,,96,,,,,107.0,,,,,,,,,22.0,,,,,,,
1903,,111,,,,,79.0,,,,,,,,,19.0,,,,,,,
1904,,89,,,,,82.0,,,,,,105.0,,,19.0,,,,,,,
1905,,145,,,,,30.0,,,,,,35.0,,,22.0,,,,,,,
1906,,156,,,,,84.0,,,,,,42.0,,,20.0,,,,,,,
1907,,150,,,,,105.0,,,,,,27.0,,,37.0,,,,,,,
1908,,129,,,,,63.0,,,,,,45.0,,,23.0,,,,,,,
1909,,137,216.0,,,,80.0,,,,,,59.0,,,24.0,,,,,,,
1910,,74,254.0,,,,132.0,,,,,,45.0,,,35.0,,,,,,,
1911,,48,197.0,,,,109.0,,,,,,63.0,,,29.0,,,,,,,
1912,,64,487.0,,,182.0,151.0,,,,,,52.0,,,24.0,,,,,,,
1913,,55,202.0,,,60.0,70.0,,,,308.0,,28.0,,,19.0,,,65.0,,,,
1914,,68,125.0,,,45.0,78.0,,,,143.0,,52.0,111.0,,38.0,,,46.0,,,,
1915,,158,333.0,,,82.0,76.0,,,,114.0,,65.0,153.0,,69.0,,,35.0,,,,
1916,,125,361.0,,,78.0,99.0,,,,76.0,,56.0,123.0,,81.0,,,66.0,,,,
1917,,35,207.0,,,51.0,74.0,,,,98.0,,31.0,96.0,,16.0,,,59.0,,,,
1918,,35,250.0,,,72.0,56.0,,,,131.0,,20.0,24.0,,22.0,,,42.0,,,,
1919,,55,304.0,,,75.0,57.0,,,148.0,129.0,82.0,34.0,43.0,,41.0,,,93.0,,,,
1920,80.0,87,324.0,,,114.0,102.0,,,180.0,122.0,78.0,43.0,154.0,,31.0,,,78.0,,,,
1921,77.0,174,266.0,,,113.0,102.0,,134.0,208.0,145.0,35.0,68.0,136.0,,23.0,,,29.0,,,,
1922,201.0,128,282.0,,,153.0,123.0,,97.0,139.0,106.0,38.0,91.0,152.0,,20.0,,,155.0,,,,
1923,198.0,96,303.0,,,145.0,136.0,,94.0,94.0,194.0,122.0,100.0,173.0,,22.0,,,133.0,,,,
1924,158.0,35,226.0,165.0,,40.0,116.0,,129.0,95.0,104.0,93.0,97.0,127.0,,27.0,,,24.0,,,,
1925,161.0,75,200.0,124.0,,121.0,101.0,,100.0,53.0,122.0,106.0,124.0,139.0,,42.0,,,30.0,,,,
1926,227.0,129,322.0,132.0,,126.0,77.0,,63.0,79.0,230.0,128.0,127.0,163.0,,47.0,,,55.0,,,,
1927,58.0,80,139.0,173.0,,111.0,72.0,,61.0,63.0,87.0,45.0,60.0,139.0,,42.0,,,25.0,,,,
1928,165.0,93,194.0,130.0,,126.0,88.0,,116.0,74.0,237.0,62.0,165.0,118.0,,54.0,,,38.0,,,,
1929,184.0,170,318.0,193.0,,152.0,253.0,,137.0,133.0,282.0,98.0,130.0,260.0,,145.0,,,121.0,,,,
1930,112.0,111,267.0,128.0,,146.0,131.0,,197.0,114.0,125.0,71.0,227.0,50.0,,113.0,,,39.0,,,,
1931,99.0,116,281.0,121.0,,176.0,144.0,,66.0,72.0,97.0,67.0,60.0,98.0,,109.0,,,80.0,144.0,,,
1932,204.0,120,230.0,176.0,,64.0,177.0,,81.0,160.0,188.0,98.0,103.0,80.0,,75.0,,,56.0,107.0,,,
1933,75.0,60,210.0,169.0,,188.0,207.0,,200.0,109.0,157.0,146.0,119.0,106.0,,97.0,212.0,,48.0,75.0,,,
1934,43.0,43,234.0,126.0,100.0,72.0,143.0,,100.0,220.0,202.0,38.0,88.0,75.0,,79.0,125.0,,60.0,151.0,,,
1935,108.0,103,172.0,160.0,63.0,204.0,115.0,,104.0,296.0,273.0,75.0,76.0,72.0,,90.0,101.0,,113.0,187.0,,,
1936,145.0,110,288.0,208.0,139.0,229.0,202.0,,226.0,401.0,240.0,56.0,194.0,118.0,,126.0,149.0,,96.0,222.0,,,
1937,90.0,68,218.0,100.0,67.0,163.0,58.0,,169.0,331.0,120.0,86.0,81.0,47.0,,51.0,82.0,,93.0,215.0,,,
1938,138.0,120,213.0,143.0,67.0,344.0,107.0,,161.0,577.0,164.0,64.0,123.0,43.0,,99.0,171.0,,61.0,306.0,,,
1939,131.0,163,218.0,160.0,95.0,182.0,100.0,,58.0,295.0,93.0,65.0,67.0,52.0,107.0,60.0,247.0,,132.0,206.0,,,
1940,139.0,154,274.0,258.0,100.0,150.0,101.0,,149.0,224.0,72.0,66.0,65.0,104.0,27.0,97.0,152.0,,29.0,142.0,,,
1941,307.0,144,398.0,226.0,138.0,215.0,220.0,,187.0,399.0,133.0,111.0,125.0,77.0,117.0,138.0,264.0,,52.0,209.0,,,
1942,253.0,191,241.0,184.0,136.0,121.0,104.0,,161.0,374.0,57.0,118.0,72.0,86.0,136.0,61.0,100.0,,62.0,287.0,,,
1943,222.0,203,218.0,192.0,70.0,45.0,49.0,110.0,106.0,137.0,23.0,71.0,72.0,82.0,52.0,46.0,195.0,,51.0,198.0,,,
1944,219.0,118,193.0,97.0,66.0,85.0,150.0,166.0,142.0,259.0,53.0,68.0,62.0,79.0,78.0,79.0,212.0,,164.0,447.0,,,
1945,301.0,163,233.0,73.0,79.0,170.0,133.0,108.0,220.0,311.0,128.0,61.0,76.0,61.0,44.0,124.0,148.0,,86.0,436.0,,,
1946,187.0,99,215.0,159.0,131.0,276.0,236.0,94.0,271.0,271.0,127.0,61.0,73.0,69.0,85.0,109.0,117.0,175.0,64.0,463.0,,,
1947,115.0,158,264.0,169.0,179.0,232.0,135.0,162.0,216.0,279.0,121.0,61.0,100.0,106.0,128.0,180.0,109.0,183.0,151.0,403.0,,,
1948,132.0,169,280.0,187.0,126.0,132.0,139.0,54.0,148.0,228.0,129.0,90.0,75.0,68.0,40.0,109.0,134.0,159.0,77.0,317.0,,,
1949,184.0,174,308.0,175.0,250.0,150.0,100.0,150.0,171.0,327.0,76.0,82.0,134.0,58.0,56.0,163.0,173.0,227.0,83.0,352.0,171.0,,
1950,211.0,135,232.0,247.0,153.0,234.0,211.0,268.0,143.0,234.0,102.0,53.0,152.0,61.0,82.0,201.0,145.0,168.0,101.0,489.0,254.0,,
1951,136.0,103,235.0,100.0,75.0,190.0,93.0,106.0,107.0,127.0,111.0,53.0,114.0,50.0,39.0,123.0,190.0,219.0,55.0,453.0,148.0,,
1952,136.0,173,276.0,254.0,144.0,207.0,138.0,202.0,178.0,263.0,162.0,84.0,126.0,58.0,124.0,115.0,188.0,302.0,72.0,321.0,161.0,,
1953,205.0,114,213.0,211.0,203.0,170.0,181.0,192.0,149.0,235.0,204.0,55.0,132.0,55.0,67.0,96.0,181.0,235.0,51.0,400.0,135.0,,
1954,177.0,119,237.0,197.0,155.0,284.0,155.0,202.0,111.0,164.0,143.0,73.0,87.0,41.0,128.0,142.0,214.0,227.0,115.0,475.0,233.0,,
1955,166.0,137,214.0,212.0,215.0,245.0,130.0,118.0,70.0,171.0,70.0,81.0,108.0,65.0,107.0,139.0,136.0,237.0,109.0,162.0,123.0,,
1956,139.0,18,184.0,89.0,59.0,142.0,93.0,83.0,99.0,126.0,79.0,70.0,107.0,56.0,82.0,100.0,82.0,137.0,42.0,321.0,170.0,,
1957,97.0,76,111.0,89.0,172.0,153.0,173.0,192.0,82.0,112.0,57.0,65.0,82.0,73.0,114.0,100.0,202.0,99.0,31.0,356.0,246.0,,
1958,213.0,132,150.0,167.0,212.0,191.0,206.0,181.0,87.0,188.0,60.0,77.0,85.0,66.0,59.0,139.0,183.0,72.0,20.0,234.0,201.0,,
1959,181.0,87,186.0,100.0,192.0,177.0,108.0,58.0,40.0,100.0,54.0,76.0,103.0,61.0,54.0,142.0,136.0,69.0,43.0,271.0,209.0,,
1960,164.0,92,205.0,268.0,167.0,203.0,129.0,115.0,61.0,266.0,73.0,84.0,72.0,69.0,137.0,218.0,120.0,125.0,61.0,338.0,313.0,,
1961,349.0,118,350.0,372.0,196.0,291.0,175.0,205.0,131.0,226.0,117.0,170.0,99.0,75.0,220.0,236.0,254.0,270.0,81.0,488.0,368.0,,
1962,199.0,95,247.0,265.0,245.0,50.0,68.0,178.0,91.0,175.0,84.0,118.0,50.0,48.0,164.0,124.0,100.0,167.0,35.0,467.0,177.0,,
1963,171.0,90,211.0,70.0,121.0,148.0,68.0,173.0,76.0,102.0,58.0,65.0,80.0,58.0,123.0,126.0,131.0,192.0,71.0,287.0,103.0,153.0,
1964,183.0,128,236.0,186.0,202.0,197.0,157.0,243.0,112.0,134.0,113.0,199.0,66.0,63.0,160.0,135.0,113.0,214.0,139.0,299.0,95.0,196.0,
1965,210.0,53,177.0,152.0,100.0,172.0,32.0,41.0,132.0,115.0,143.0,90.0,81.0,60.0,94.0,88.0,55.0,259.0,119.0,395.0,147.0,148.0,
1966,137.0,109,189.0,176.0,138.0,222.0,120.0,71.0,139.0,267.0,174.0,50.0,83.0,61.0,128.0,75.0,132.0,247.0,128.0,419.0,149.0,307.0,
1967,211.0,112,166.0,130.0,190.0,349.0,177.0,149.0,118.0,157.0,104.0,82.0,72.0,77.0,168.0,104.0,189.0,342.0,154.0,394.0,147.0,152.0,
1968,100.0,70,214.0,74.0,84.0,259.0,197.0,111.0,88.0,148.0,78.0,58.0,70.0,88.0,117.0,141.0,131.0,265.0,36.0,297.0,93.0,250.0,
1969,140.0,93,115.0,242.0,132.0,260.0,130.0,80.0,54.0,139.0,61.0,79.0,62.0,153.0,82.0,122.0,125.0,261.0,58.0,322.0,225.0,119.0,
1970,182.0,107,145.0,258.0,156.0,348.0,159.0,174.0,128.0,150.0,206.0,76.0,138.0,170.0,159.0,200.0,105.0,265.0,67.0,375.0,150.0,223.0,
1971,39.0,37,140.0,194.0,213.0,149.0,65.0,137.0,103.0,149.0,68.0,29.0,36.0,100.0,94.0,168.0,75.0,100.0,43.0,348.0,203.0,135.0,
1972,134.0,90,125.0,219.0,169.0,165.0,114.0,303.0,129.0,113.0,138.0,143.0,85.0,111.0,144.0,66.0,98.0,226.0,45.0,279.0,163.0,121.0,
1973,198.0,209,186.0,320.0,268.0,271.0,211.0,354.0,102.0,105.0,150.0,114.0,185.0,310.0,192.0,152.0,136.0,243.0,60.0,430.0,233.0,303.0,
1974,151.0,115,130.0,196.0,259.0,190.0,196.0,239.0,90.0,88.0,100.0,108.0,54.0,174.0,97.0,91.0,196.0,119.0,63.0,320.0,223.0,184.0,
1975,159.0,96,171.0,156.0,100.0,42.0,57.0,146.0,69.0,56.0,100.0,78.0,59.0,140.0,129.0,187.0,159.0,111.0,77.0,309.0,192.0,196.0,
1976,126.0,107,192.0,189.0,142.0,102.0,111.0,206.0,72.0,77.0,210.0,67.0,71.0,89.0,65.0,199.0,124.0,137.0,49.0,294.0,283.0,177.0,
1977,108.0,214,171.0,129.0,230.0,175.0,313.0,281.0,72.0,34.0,179.0,106.0,88.0,146.0,123.0,61.0,209.0,116.0,134.0,368.0,276.0,245.0,
1978,146.0,120,164.0,139.0,134.0,228.0,168.0,87.0,62.0,32.0,125.0,177.0,88.0,138.0,79.0,212.0,174.0,117.0,63.0,289.0,129.0,102.0,
1979,138.0,77,160.0,140.0,214.0,155.0,79.0,183.0,57.0,72.0,127.0,124.0,83.0,91.0,185.0,127.0,147.0,134.0,189.0,325.0,166.0,200.0,
1980,120.0,50,102.0,93.0,73.0,178.0,99.0,182.0,48.0,62.0,86.0,196.0,68.0,102.0,125.0,121.0,100.0,221.0,114.0,321.0,168.0,55.0,
1981,101.0,57,172.0,142.0,234.0,261.0,118.0,204.0,43.0,62.0,68.0,208.0,116.0,86.0,147.0,75.0,98.0,163.0,81.0,333.0,216.0,195.0,
1982,92.0,87,193.0,198.0,179.0,121.0,129.0,315.0,92.0,84.0,155.0,112.0,134.0,91.0,192.0,193.0,140.0,210.0,181.0,354.0,279.0,133.0,
1983,69.0,154,221.0,181.0,155.0,143.0,193.0,348.0,85.0,178.0,156.0,120.0,72.0,168.0,283.0,154.0,150.0,195.0,201.0,378.0,310.0,179.0,
1984,99.0,70,143.0,131.0,200.0,102.0,129.0,177.0,81.0,62.0,95.0,95.0,51.0,74.0,252.0,74.0,62.0,260.0,39.0,296.0,191.0,194.0,
1985,84.0,41,105.0,120.0,114.0,72.0,63.0,203.0,63.0,55.0,28.0,53.0,43.0,63.0,100.0,175.0,53.0,93.0,50.0,195.0,42.0,46.0,
1986,64.0,102,123.0,130.0,72.0,133.0,95.0,138.0,66.0,97.0,50.0,99.0,87.0,84.0,176.0,238.0,53.0,93.0,144.0,291.0,175.0,174.0,
1987,52.0,89,114.0,154.0,188.0,61.0,50.0,110.0,105.0,54.0,87.0,82.0,78.0,100.0,80.0,159.0,38.0,89.0,115.0,179.0,107.0,96.0,
1988,76.0,89,185.0,218.0,165.0,84.0,50.0,225.0,84.0,88.0,68.0,82.0,46.0,126.0,102.0,85.0,52.0,118.0,107.0,195.0,54.0,49.0,
1989,217.0,76,235.0,285.0,112.0,143.0,145.0,322.0,104.0,98.0,62.0,268.0,95.0,376.0,150.0,85.0,35.0,221.0,208.0,313.0,188.0,279.0,
1990,147.0,85,167.0,196.0,100.0,149.0,118.0,222.0,143.0,93.0,69.0,158.0,64.0,91.0,103.0,260.0,57.0,160.0,139.0,208.0,169.0,259.0,
1991,90.0,73,167.0,140.0,147.0,139.0,121.0,106.0,119.0,74.0,87.0,112.0,75.0,93.0,242.0,234.0,45.0,193.0,151.0,379.0,175.0,215.0,
1992,90.0,34,162.0,129.0,82.0,166.0,100.0,115.0,113.0,42.0,171.0,108.0,80.0,104.0,132.0,135.0,32.0,175.0,130.0,251.0,140.0,55.0,
1993,108.0,58,176.0,168.0,200.0,267.0,135.0,240.0,144.0,61.0,334.0,131.0,54.0,188.0,232.0,335.0,29.0,266.0,278.0,205.0,141.0,208.0,
1994,43.0,50,144.0,130.0,185.0,152.0,93.0,179.0,100.0,47.0,322.0,79.0,82.0,81.0,199.0,291.0,42.0,188.0,231.0,178.0,49.0,179.0,
1995,44.0,93,123.0,134.0,224.0,115.0,96.0,242.0,107.0,48.0,176.0,79.0,98.0,108.0,144.0,340.0,42.0,219.0,313.0,160.0,35.0,110.0,
1996,39.0,90,101.0,148.0,199.0,154.0,100.0,257.0,99.0,76.0,39.0,110.0,151.0,100.0,188.0,215.0,75.0,149.0,515.0,199.0,118.0,107.0,
1997,30.0,42,75.0,100.0,100.0,81.0,41.0,94.0,77.0,51.0,39.0,81.0,128.0,100.0,52.0,145.0,55.0,148.0,359.0,132.0,36.0,105.0,
1998,29.0,43,75.0,106.0,151.0,82.0,48.0,82.0,82.0,51.0,64.0,70.0,151.0,120.0,89.0,199.0,98.0,103.0,646.0,147.0,112.0,83.0,
1999,27.0,102,117.0,111.0,194.0,215.0,86.0,183.0,77.0,73.0,125.0,132.0,157.0,160.0,215.0,264.0,155.0,96.0,684.0,172.0,103.0,68.0,
2000,49.0,84,109.0,118.0,105.0,81.0,53.0,100.0,99.0,87.0,82.0,170.0,202.0,276.0,105.0,172.0,102.0,134.0,699.0,177.0,130.0,103.0,
2001,78.0,32,141.0,150.0,,91.0,60.0,123.0,90.0,64.0,67.0,277.0,341.0,330.0,158.0,222.0,94.0,,318.0,262.0,215.0,99.0,
2002,91.0,65,159.0,161.0,,145.0,72.0,68.0,103.0,108.0,264.0,64.0,132.0,124.0,44.0,253.0,73.0,,214.0,205.0,126.0,103.0,
2003,109.0,51,117.0,79.0,,204.0,58.0,84.0,128.0,51.0,180.0,,133.0,,,56.0,66.0,,,192.0,48.0,116.0,
2004,999.0,999,130.0,82.0,,212.0,62.0,140.0,,79.0,247.0,,,,,,65.0,,,212.0,100.0,83.0,
